id,features
10,"[-0.5885262489318848, -0.11754222959280014, 0.05757683143019676, 0.25419336557388306, -0.14866918325424194, -0.8070707321166992, 0.3566625714302063, -0.4017564058303833, -0.1661224365234375, 0.12083475291728973]"
20,"[-0.03058544360101223, 0.02492169477045536, -0.10857454687356949, 0.4573836624622345, -0.2204059213399887, -0.5626204013824463, 0.7771555781364441, 0.18237273395061493, 0.2650182545185089, -0.3468998670578003]"
30,"[-0.01765909045934677, 0.19435298442840576, 0.9219691157341003, -0.11055215448141098, 0.8785443305969238, -1.4227145910263062, -0.0329783596098423, 0.13681548833847046, -0.123630091547966, 0.12990911304950714]"
40,"[-0.763626754283905, -0.19349712133407593, 0.830552339553833, 0.39897236227989197, 0.755844235420227, -0.8499038815498352, -0.022998571395874023, 0.9130203127861023, -0.805454671382904, -0.03022245317697525]"
50,"[-0.20931319892406464, -0.01763523742556572, 0.46913081407546997, 0.059317171573638916, -0.02835950069129467, -0.9398934841156006, 0.5560302734375, 0.05936990678310394, -0.13301712274551392, 0.6863774657249451]"
60,"[-0.21358411014080048, 0.005039172247052193, 0.4480666518211365, 0.7077617645263672, 0.0545169822871685, -0.5119267702102661, 0.591058611869812, 0.634654700756073, -0.3102237284183502, -0.13887184858322144]"
70,"[-0.34034234285354614, 0.40225929021835327, -0.3925734758377075, -0.2846115529537201, 0.0205372367054224, -0.8750940561294556, 0.6619647145271301, -0.31024375557899475, -0.5341917872428894, -0.13942043483257294]"
80,"[-0.5239239931106567, 0.9514597058296204, 1.0197198390960693, -0.32719558477401733, 0.2995468080043793, -0.502371072769165, 0.7040905356407166, 0.12719979882240295, 0.2943307161331177, 0.6861629486083984]"
90,"[-0.09635859727859497, -0.6609994173049927, 1.0364285707473755, 0.19714795053005219, -0.0625927671790123, -1.0260863304138184, 0.4644361138343811, -0.015255608595907688, 0.16661065816879272, -0.43638724088668823]"
100,"[0.6020238399505615, 0.003022219520062208, -0.14393272995948792, 0.6000146269798279, -0.042271651327610016, -0.9016779065132141, 0.8840054869651794, 0.34843146800994873, -0.36234888434410095, -0.4636562764644623]"
110,"[-0.2665432393550873, -0.20081830024719238, -0.07818418741226196, 0.21231643855571747, -0.1997833251953125, -1.0294420719146729, 0.46840912103652954, 0.14126020669937134, 0.10049958527088165, 0.4500100016593933]"
120,"[-0.27177751064300537, -0.06073842942714691, 0.05056123808026314, 0.22898779809474945, -0.2144441306591034, -0.5435734987258911, 0.4388527274131775, 0.10879287868738174, -0.0789511501789093, 0.322459876537323]"
130,"[0.2261769324541092, 0.17454105615615845, 0.6229112148284912, -0.22963981330394745, 0.08840268850326538, -0.7958727478981018, 0.7419154047966003, 0.058857329189777374, -0.5827794671058655, 0.5781177282333374]"
140,"[0.01996481604874134, -0.1000165343284607, 0.38985294103622437, 1.1843862533569336, 0.563576877117157, -0.7741612792015076, 0.2265794426202774, 0.3842683434486389, 0.3006057143211365, 0.015880929306149483]"
150,"[-0.4385582506656647, -0.29068252444267273, 0.4115520119667053, 0.5407703518867493, -0.3138929307460785, -0.8288773894309998, 0.3452252447605133, 0.05569982901215553, 0.008738791570067406, 0.26866886019706726]"
160,"[-0.36910733580589294, 0.04754812642931938, -0.1717948615550995, 0.6333538889884949, 0.07417047023773193, -0.48919352889060974, 0.46679404377937317, 0.06750508397817612, -0.09789428859949112, -0.3746068775653839]"
170,"[-0.7311174869537354, 0.009848702698946, 0.3271857798099518, 0.3654594421386719, 0.650114893913269, -0.7317624092102051, 0.5480433702468872, -0.3034334182739258, 0.1472155898809433, -0.19761183857917786]"
180,"[-0.24559307098388672, 0.3718987703323364, -0.07636440545320511, -0.16305072605609894, 0.9027774333953857, -1.0919134616851807, 0.3782694637775421, -0.20428985357284546, 0.0369097925722599, 0.4438702464103699]"
190,"[-0.8013729453086853, 0.5802721381187439, 0.48371821641921997, 0.10918775945901871, 0.5772199034690857, -0.8184261918067932, 0.2967110276222229, 0.1876063346862793, -1.491154670715332, -0.35455524921417236]"
200,"[0.1779659539461136, -0.08969837427139282, 0.46692538261413574, 0.23861782252788544, -0.901214599609375, -1.4512829780578613, 0.3204166293144226, 0.5909040570259094, 0.7639455795288086, -1.5374118089675903]"
210,"[0.03121759742498398, 1.0959320068359375, 0.46425241231918335, 0.9683435559272766, 0.43688246607780457, -0.9770337343215942, 0.039136845618486404, -0.2686157524585724, 0.126323401927948, 0.19773602485656738]"
220,"[-0.346481055021286, 0.38882842659950256, 0.5819528698921204, -0.4114762842655182, -0.004943773616105318, -0.31606900691986084, 0.47544464468955994, -0.48098835349082947, -0.4595731794834137, 0.013885632157325745]"
230,"[-0.3397369086742401, 0.06553549319505692, 0.7433647513389587, 0.2510587275028229, -0.051574405282735825, -0.7619072794914246, 0.7501577138900757, 0.4589420557022095, -0.043053414672613144, -0.4429031014442444]"
240,"[0.19168710708618164, 0.7372580766677856, -0.3887137174606323, 0.0049567148089408875, 0.4464416205883026, -1.0695552825927734, 0.9191564917564392, -0.3241279423236847, 0.29995715618133545, -0.5152062177658081]"
250,"[-0.8529536724090576, 0.03575438633561134, 0.35292622447013855, 0.13711777329444885, -0.03715267777442932, -0.9615685343742371, -0.03381170332431793, 0.1246451660990715, 0.5615388751029968, -0.3421977162361145]"
260,"[-0.38817259669303894, -0.10853110253810883, 0.1022702008485794, 0.31824538111686707, -0.2880460023880005, -1.0241811275482178, 0.1890467256307602, 0.04171689599752426, -0.471688449382782, 0.5969461798667908]"
270,"[-0.2779161036014557, -0.7896251678466797, 1.2023162841796875, 0.3149854838848114, 0.02505522221326828, -0.8895409107208252, 0.4256041347980499, -0.33922716975212097, 0.6947178244590759, -0.6138308644294739]"
280,"[-0.07939817756414413, 0.11308039724826813, 0.5630336999893188, 0.5206506252288818, 0.13135619461536407, -0.8819113373756409, 0.49798712134361267, 0.12104460597038269, 0.3729898929595947, 0.10566399991512299]"
290,"[-0.3129105567932129, 0.2521364390850067, 0.7823839783668518, -0.16891422867774963, 0.02603282406926155, -1.0470991134643555, 0.15021096169948578, 0.11723048239946365, 0.21229206025600433, 0.5035362839698792]"
300,"[-0.3243491053581238, 0.07068733125925064, 0.7197678089141846, 0.23902811110019684, -0.14587469398975372, -0.5660447478294373, 0.7067803740501404, 0.32526254653930664, -0.18888849020004272, 0.24171625077724457]"
310,"[-0.8550047278404236, 0.5895400047302246, -0.19869740307331085, 0.2954924404621124, 0.2841967046260834, -0.3803102672100067, 0.286953866481781, -0.09130443632602692, -0.32348427176475525, 0.17017360031604767]"
320,"[-0.6603812575340271, -1.058725118637085, 1.1105432510375977, -0.1546088010072708, 1.1520994901657104, -1.2006006240844727, -0.438320130109787, -0.7043610215187073, -0.8840013146400452, 0.2922276258468628]"
330,"[-0.658551812171936, 0.3856591284275055, 0.162333682179451, 0.11023089289665222, 0.01938340999186039, -0.19328850507736206, 1.136799693107605, 0.6056939959526062, -0.035859666764736176, -0.25215551257133484]"
340,"[-0.04536176100373268, -1.2345783710479736, 0.304505318403244, -0.1969868242740631, -0.18665742874145508, -1.2192147970199585, 0.34985238313674927, 0.4834212064743042, -0.31723275780677795, -0.5787736177444458]"
350,"[-0.4651830792427063, 0.07303296029567719, 0.4184097349643707, 0.5805409550666809, -0.11478634178638458, -0.7034792900085449, 0.5110060572624207, 0.2603432536125183, 0.20756079256534576, -0.18955127894878387]"
360,"[-0.7807313799858093, -0.2797890603542328, 0.5256891250610352, 0.6108973026275635, -0.2571220397949219, -0.21412448585033417, 0.7292307615280151, -0.20174704492092133, 0.057275742292404175, -0.5827761888504028]"
370,"[-0.3885882794857025, 0.7562262415885925, 0.30047059059143066, 0.567329466342926, -0.32929179072380066, -0.32475772500038147, 0.6695339679718018, -0.42805013060569763, 0.08059372007846832, 0.15000423789024353]"
380,"[-0.643912136554718, -0.015963278710842133, 0.024540875107049942, 0.49678662419319153, -0.34432241320610046, -0.5483258962631226, 0.5387923717498779, -0.20761381089687347, -0.13773661851882935, 0.23004375398159027]"
390,"[-1.1794127225875854, 0.849142849445343, 0.8106638789176941, 0.008784298785030842, 0.7762078642845154, -0.45432060956954956, 0.52804034948349, -0.19748465716838837, -0.35899579524993896, 0.446492999792099]"
410,"[-0.7729272842407227, 0.41198164224624634, 0.36043715476989746, 0.240083709359169, 0.038228195160627365, -0.35505637526512146, 0.5473741292953491, -0.08661173284053802, -0.8501406908035278, -0.10514525324106216]"
