id,features
10,"[-1.6596722602844238, -0.5394509434700012, 0.4257459342479706, 1.6463360786437988, 0.4479205310344696, -2.2459940910339355, 1.7515743970870972, 0.30733969807624817, -0.4717230200767517, 0.8750677108764648]"
20,"[-2.3115592002868652, -0.5255156755447388, 0.6226966381072998, 0.1349080502986908, -0.2843076288700104, -2.369950532913208, 2.0539145469665527, 0.002532177371904254, -0.150252103805542, 0.6148988604545593]"
30,"[-0.8463076949119568, -0.2619977593421936, 0.04269726574420929, 0.6512268781661987, -0.5220790505409241, -1.8581461906433105, 1.4224673509597778, 1.3104873895645142, 0.37511900067329407, 1.670663833618164]"
40,"[-1.2654118537902832, -0.6257426142692566, 1.1258740425109863, 0.6191041469573975, -0.37245720624923706, -2.3306479454040527, 0.8987545371055603, -0.558709442615509, -0.8189027309417725, 0.8364301323890686]"
50,"[-1.0182318687438965, -0.07036259025335312, 1.284841537475586, 0.6102246046066284, 0.05748279020190239, -2.7273664474487305, 0.801192045211792, -0.041951946914196014, 0.16752244532108307, -0.0395137183368206]"
60,"[-0.31750765442848206, -1.130039095878601, -0.02755964919924736, 2.126850128173828, -1.4685779809951782, -2.378547430038452, 1.65034019947052, 0.41711536049842834, -0.623042643070221, -0.1611880511045456]"
70,"[-0.6879141926765442, 0.6333144903182983, 0.5790037512779236, 0.9494520425796509, 1.096856951713562, -2.353250026702881, 1.3102935552597046, 0.661239743232727, -0.21359360218048096, 2.233562469482422]"
80,"[-1.2383800745010376, -0.5257766246795654, 1.176692247390747, 0.659055233001709, -0.10407131165266037, -2.938544511795044, 0.9992669820785522, -0.36237263679504395, 1.209161639213562, 0.6775110363960266]"
90,"[-1.2065505981445312, 0.25254422426223755, 0.43624165654182434, 0.5314666628837585, -0.6214882135391235, -2.0228686332702637, 2.1087443828582764, -0.6621171832084656, -0.47940096259117126, 0.9694257974624634]"
100,"[-0.8321086764335632, -0.4511042833328247, 0.8713042140007019, 0.9209960699081421, -0.36126142740249634, -2.2417612075805664, 0.4036417007446289, 0.5817200541496277, -0.746461033821106, 0.32166218757629395]"
110,"[-0.6462273597717285, -0.10681745409965515, 1.329177975654602, 0.12488091737031937, -1.093217134475708, -2.646822452545166, 1.0969077348709106, 0.5314005017280579, -0.020803721621632576, 1.4100499153137207]"
120,"[-0.09841221570968628, 0.6902022361755371, 0.6949350237846375, 0.6294924020767212, 0.057105716317892075, -1.8803342580795288, 1.1080111265182495, 0.8995510935783386, -0.3012818396091461, 2.3297181129455566]"
130,"[-0.7485102415084839, -0.05147736147046089, 0.27575942873954773, 1.3760433197021484, -0.884719967842102, -2.8110549449920654, 1.2344639301300049, -1.5908547639846802, -1.2419869899749756, 1.7237251996994019]"
140,"[-1.8475064039230347, 0.20108112692832947, 1.1137672662734985, 0.006685413420200348, -1.2048912048339844, -1.0620794296264648, 1.193105936050415, 1.2412452697753906, -0.8940830230712891, 1.998490571975708]"
150,"[-1.008732557296753, -0.1587279886007309, 0.9616143107414246, 0.8577470183372498, -0.4745905101299286, -2.3770294189453125, 1.6425703763961792, 0.3998735249042511, -0.12329471111297607, 0.8925140500068665]"
160,"[-0.8003819584846497, 0.03729045018553734, 0.5782327651977539, 1.409419059753418, 0.45201268792152405, -2.2041497230529785, 1.2053831815719604, 0.9030374884605408, 0.3254964351654053, 0.6976380348205566]"
170,"[-0.5917431712150574, -0.22895655035972595, 1.106397032737732, 0.3601962625980377, -1.1087756156921387, -2.5796172618865967, 1.3494538068771362, 0.0652836263179779, -0.3532537817955017, 1.359021782875061]"
180,"[-0.5753334164619446, 0.14309412240982056, 0.745303750038147, 0.3183055818080902, -0.91960209608078, -2.4731361865997314, 1.3405107259750366, -0.07861801236867905, -0.3686159551143646, 1.2145978212356567]"
190,"[-0.11146097630262375, 0.47220757603645325, 0.442111074924469, 0.4735483229160309, -0.5289641618728638, -3.1896748542785645, 0.6311948299407959, -0.11081140488386154, -0.06529411673545837, 1.103667140007019]"
200,"[-1.9073939323425293, -1.2759548425674438, 1.9104443788528442, -0.2500271201133728, 1.5635539293289185, -2.156778335571289, 1.2481456995010376, -0.34010401368141174, 0.7211062908172607, 1.4910035133361816]"
210,"[-2.899860382080078, -0.771693229675293, -0.07118289172649384, -0.05796939507126808, -0.4611382484436035, -2.6427500247955322, 2.4264402389526367, -0.12448180466890335, 0.8051846623420715, 0.10390360653400421]"
220,"[-1.1872693300247192, 0.003452880308032036, 1.0954352617263794, 0.1208212748169899, -0.7091822624206543, -2.6148784160614014, 1.1599541902542114, 0.5585930943489075, -1.1026935577392578, 1.2480446100234985]"
230,"[-1.041579246520996, -0.4761843681335449, 0.121149942278862, 1.0842623710632324, 0.10695239156484604, -2.889657974243164, 1.7767211198806763, 0.327347069978714, -0.38219600915908813, 1.014104962348938]"
240,"[-0.7216387391090393, -0.45557016134262085, 0.6461923122406006, 1.0053597688674927, -0.45148977637290955, -1.9659615755081177, 1.5963685512542725, -0.170640230178833, -0.4940238296985626, 0.6436859965324402]"
250,"[-1.0394896268844604, 0.3460243344306946, -0.5086096525192261, 0.9583908319473267, -0.7223555445671082, -2.697159767150879, 1.9823980331420898, -0.33551445603370667, -0.29706937074661255, 0.37360072135925293]"
260,"[-0.7695556282997131, -0.18807442486286163, -0.047162119299173355, 0.7611953616142273, 0.4518890976905823, -2.6476492881774902, 1.6517393589019775, -0.3043834865093231, -0.3291303217411041, 1.604305386543274]"
270,"[-0.32400619983673096, 0.23523414134979248, 1.0955541133880615, 1.3300994634628296, -0.33540913462638855, -2.653404474258423, 1.7672207355499268, 0.3039845824241638, 0.24220988154411316, 1.0027366876602173]"
280,"[0.8846793174743652, -0.43125152587890625, 0.4742774963378906, 0.45137178897857666, -0.5803923010826111, -3.072368860244751, 1.877425193786621, -1.1888014078140259, -1.884909987449646, 0.9587198495864868]"
290,"[-1.019934892654419, 1.1694788932800293, -0.5677756667137146, 1.612667441368103, -1.5058305263519287, -2.6960697174072266, -0.4573058784008026, 0.4804641008377075, -0.49679267406463623, 1.6080600023269653]"
300,"[-1.9090713262557983, 0.3182348310947418, 0.0062150368466973305, 1.1293493509292603, -1.1940683126449585, -2.365081548690796, 1.0634539127349854, 0.494443416595459, -0.10331840068101883, 1.7383289337158203]"
310,"[-0.3451826572418213, 0.14793764054775238, 0.9352250695228577, 1.2325832843780518, 0.6413414478302002, -1.8438612222671509, 2.0008347034454346, 0.6929806470870972, 0.25113049149513245, 0.9353078603744507]"
320,"[-0.7620744705200195, -0.2538427412509918, -0.611436128616333, 0.26392054557800293, 0.21288615465164185, -3.1935694217681885, 1.7634038925170898, 1.1977473497390747, -0.367501825094223, 1.6380592584609985]"
330,"[-1.5626178979873657, -0.30990418791770935, 0.4143995940685272, 1.383249044418335, -0.7740532755851746, -2.378204822540283, 1.516982913017273, 0.16658999025821686, -0.07112906873226166, 0.55979984998703]"
340,"[-2.116833448410034, -0.23343808948993683, 0.6772083044052124, 1.058571696281433, -0.38818302750587463, -1.7293062210083008, 0.9007319211959839, -0.11130723357200623, 0.14448870718479156, 0.48655828833580017]"
350,"[-1.9482332468032837, -0.7282400727272034, 0.43771204352378845, 0.4033285081386566, -1.236870527267456, -2.3505213260650635, 1.3557910919189453, 0.2302306592464447, -0.6902490854263306, 0.9319056868553162]"
360,"[-1.2376312017440796, -0.13390378654003143, 0.45276063680648804, 2.2774720191955566, -0.36839815974235535, -1.9164825677871704, 0.9195424318313599, -0.2323201596736908, 0.06160479784011841, 0.6868076324462891]"
370,"[-1.6119017601013184, -0.34947189688682556, 0.3787907063961029, 0.3590814173221588, -0.6363862752914429, -2.1298041343688965, 1.7276043891906738, 0.26428794860839844, -0.16809578239917755, 2.2715542316436768]"
380,"[-0.8340582847595215, 0.3487757444381714, 0.915500819683075, 0.3189718425273895, -0.6425036787986755, -2.8132503032684326, 1.1269222497940063, -0.33075299859046936, -0.24618534743785858, 1.4540780782699585]"
390,"[-0.2935195565223694, 0.7506701946258545, 0.8677597641944885, -0.11047248542308807, 0.03569071367383003, -2.3751015663146973, 1.1371097564697266, 0.4954303205013275, -1.3057399988174438, 0.4410370886325836]"
400,"[-2.3509361743927, 1.1762396097183228, -0.08597581833600998, 0.7775446176528931, -0.35790175199508667, -1.3373477458953857, 1.2096922397613525, 0.2336503267288208, 0.39479371905326843, 2.6201400756835938]"
410,"[-0.8617938756942749, 0.5705452561378479, 0.30449214577674866, 0.9783220887184143, -0.061940260231494904, -2.4167048931121826, 1.618673324584961, 0.4805243909358978, -0.21694540977478027, 1.6244943141937256]"
420,"[-1.1947158575057983, 0.5515211224555969, 0.954286515712738, 0.08684194087982178, 0.03962881490588188, -2.2991104125976562, 1.6037498712539673, 0.3179725706577301, -0.681981086730957, 1.526122808456421]"
430,"[-3.5240590572357178, 0.7855185866355896, 0.13336873054504395, 1.31050443649292, -0.5500191450119019, -0.7919625043869019, 1.8563706874847412, 0.5807909369468689, -0.8138306736946106, 1.0064586400985718]"
440,"[0.27907228469848633, -2.202831745147705, 2.376316547393799, 1.2121723890304565, -0.9752994179725647, -2.2853610515594482, 0.9542647004127502, 0.1089000254869461, 1.7310023307800293, 0.6933470368385315]"
450,"[-1.143852710723877, -0.7419053912162781, 0.3267144560813904, 0.2750495672225952, -1.0515295267105103, -2.554922580718994, 0.6909518837928772, 1.4062633514404297, -0.9804401397705078, 0.987666130065918]"
460,"[-0.6523075103759766, 1.4551833868026733, 0.06733700633049011, 1.3520113229751587, 0.4204695522785187, -1.9447554349899292, 1.6694951057434082, -1.7263801097869873, -1.2127269506454468, 0.08674414455890656]"
470,"[-1.9029637575149536, 0.45011669397354126, 1.188125491142273, 2.510154962539673, -0.8035913705825806, -1.2889633178710938, -0.1494905948638916, -0.43145620822906494, 0.7629464864730835, 1.2819074392318726]"
480,"[-0.5665127635002136, 0.07076214253902435, 0.3256142735481262, 0.24970701336860657, -0.2123347520828247, -2.3683388233184814, 1.5010285377502441, 1.4057295322418213, -0.4814654290676117, 1.0875352621078491]"
490,"[-1.94962739944458, -1.6097928285598755, -0.27941688895225525, 0.5056744813919067, 0.0918644368648529, -3.362807035446167, 0.20054683089256287, -0.16168273985385895, -0.0717005580663681, 0.4717319905757904]"
500,"[-1.301353931427002, 0.07625138014554977, 1.3654887676239014, 0.5762996673583984, 0.9354497790336609, -1.158017873764038, 1.8844423294067383, 0.22491323947906494, -0.7028356790542603, 1.2129275798797607]"
510,"[-1.0315420627593994, -0.1588301956653595, -0.7011959552764893, 2.132791042327881, 0.5236616730690002, -1.9510329961776733, 1.9508671760559082, -1.1211386919021606, -1.408536434173584, 0.9752499461174011]"
520,"[-0.9400362968444824, 0.4844127595424652, 1.0351240634918213, 0.7139782905578613, -0.5219193696975708, -2.549518346786499, 1.215393304824829, 0.6918326020240784, -0.589533805847168, 0.9667139649391174]"
530,"[-0.4246029257774353, 0.40993568301200867, 0.09791602194309235, 0.6308748126029968, 0.23168732225894928, -3.0968239307403564, 1.1320570707321167, 0.6661787629127502, -0.493279367685318, 1.2133052349090576]"
540,"[-0.3619891107082367, 0.4796846807003021, -0.3781416118144989, -0.43567582964897156, 1.6349414587020874, -1.2186957597732544, 3.47780442237854, 2.4864299297332764, 0.6997608542442322, 0.6001126766204834]"
550,"[-1.1260875463485718, -0.2610997259616852, 0.49784666299819946, 0.8451459407806396, -0.06592490524053574, -2.031961441040039, 2.0153770446777344, 0.12853722274303436, -0.9023089408874512, 1.3523389101028442]"
560,"[-1.5228643417358398, -0.6798631548881531, 0.31834352016448975, 1.6113160848617554, 0.40383732318878174, -2.140226125717163, 1.7475981712341309, -0.05449653044342995, -1.370435357093811, 0.45283904671669006]"
570,"[-0.9046795964241028, -0.45995545387268066, -0.016406383365392685, 0.8560492992401123, 0.286298543214798, -2.416335344314575, 1.4808249473571777, 0.10683020949363708, -0.2435140460729599, 1.5124008655548096]"
580,"[0.30000895261764526, -1.3937963247299194, 0.5534182190895081, 1.7758235931396484, -1.6558390855789185, -2.612699031829834, 0.8373719453811646, 1.4764665365219116, 0.2078533172607422, 1.2199044227600098]"
590,"[-0.6808421015739441, 0.13992850482463837, 1.1057013273239136, 0.7032887935638428, 0.1468885987997055, -2.0007781982421875, 1.711280107498169, 0.9845327734947205, -0.5153152942657471, 1.3022445440292358]"
600,"[-0.04679408669471741, 1.5142581462860107, 1.3213894367218018, 1.0777891874313354, -0.00871792808175087, -3.1593546867370605, 0.52583909034729, 0.7396615743637085, 0.5036715269088745, 1.2679970264434814]"
610,"[0.8102079629898071, -1.3686814308166504, 0.9019005298614502, 1.1685711145401, -0.09166468679904938, -2.3647096157073975, 1.0548980236053467, 0.5681686401367188, -1.5901247262954712, 1.9769357442855835]"
620,"[-0.9015881419181824, 0.5878540277481079, 0.7405806183815002, 0.6727562546730042, -0.69512939453125, -2.216679811477661, 0.8633717894554138, -0.06751292943954468, -0.7264265418052673, 1.8952888250350952]"
630,"[-1.1587669849395752, 0.08350132405757904, 1.2754440307617188, 0.7728252410888672, -0.3196382522583008, -2.0985312461853027, 0.8857998847961426, 0.9412587881088257, -0.612773597240448, 1.3091068267822266]"
640,"[-1.2165124416351318, -0.4090111553668976, -0.3087193965911865, 0.10642801970243454, 0.42191892862319946, -1.8278687000274658, 3.8545687198638916, 0.34295058250427246, -0.9906957745552063, 2.0188517570495605]"
650,"[-0.27717894315719604, 1.4999338388442993, -0.6235024333000183, 1.0258407592773438, -0.11953634023666382, -2.427229404449463, 2.6272201538085938, 0.05354682356119156, -0.26307788491249084, 1.6922093629837036]"
660,"[-0.6960147619247437, -0.17288166284561157, 0.7631590366363525, 0.6151159405708313, -0.8692609667778015, -2.199890375137329, 1.2353509664535522, 0.1511612981557846, -0.36553385853767395, 0.7631824612617493]"
670,"[-0.37008136510849, 0.4617045521736145, 1.2501126527786255, -0.5908827185630798, -0.7972301840782166, -1.715131163597107, 0.6567642688751221, 0.2099076211452484, -1.1580907106399536, 0.9201258420944214]"
680,"[-1.3156006336212158, -0.11749013513326645, 0.33416712284088135, 1.1456705331802368, -1.6728386878967285, -2.363792896270752, 1.016210675239563, 0.05274344980716705, -0.01825588196516037, 1.6735097169876099]"
690,"[-0.9140561819076538, 0.413095086812973, 0.27538836002349854, 1.0467559099197388, -0.3339613080024719, -2.7123727798461914, 2.3030405044555664, -0.3974129259586334, -0.597322940826416, 1.1538463830947876]"
700,"[-1.3160940408706665, -0.173428013920784, -0.05371870473027229, -1.5306265354156494, -0.14108000695705414, -2.7194747924804688, 2.2416014671325684, 1.6450105905532837, -0.9693112969398499, -0.2959515154361725]"
710,"[-0.6745899319648743, -0.014917957596480846, 0.434920996427536, 0.48896604776382446, -0.618177056312561, -2.496372699737549, 1.7250349521636963, 0.05558081343770027, -0.9192103147506714, 1.2732032537460327]"
720,"[-0.14555390179157257, -0.8184629082679749, -0.35927411913871765, 0.6968435645103455, -0.5403404831886292, -2.7384281158447266, 1.2347712516784668, 0.4450109899044037, 0.2068653702735901, 1.1413276195526123]"
730,"[-0.31465214490890503, 0.8121427893638611, 0.5346083045005798, 0.09593739360570908, -0.7973719239234924, -3.109999179840088, 0.6486010551452637, 0.3340452015399933, 0.03637005016207695, 1.7391302585601807]"
740,"[-1.3468892574310303, 0.5517476797103882, 0.8447793126106262, 0.2189471274614334, 0.4965418577194214, -3.018829345703125, 1.3734235763549805, -0.07275061309337616, -0.6900652647018433, 0.9216952919960022]"
750,"[-0.6216382384300232, 0.17304018139839172, 1.2715277671813965, 0.3134234845638275, -0.7157133221626282, -2.176443099975586, 0.8282063603401184, 0.9153683185577393, -0.8947342038154602, 1.1842355728149414]"
760,"[-0.944249153137207, 0.20515939593315125, 0.8491202592849731, -0.2820087969303131, 0.09691590815782547, -2.7821311950683594, 2.116515636444092, -0.05172693729400635, 0.12288893759250641, 0.799160897731781]"
770,"[-0.8891828656196594, 0.20146052539348602, -0.27413585782051086, 0.3733106255531311, -0.5816237330436707, -2.567486524581909, 1.2181859016418457, -0.8030468225479126, -0.1901865303516388, 1.8902602195739746]"
780,"[-1.2711737155914307, -0.23192597925662994, 0.12247851490974426, 0.9374943971633911, 0.14657920598983765, -2.242262840270996, 1.5994904041290283, -0.08844993263483047, -0.8768205046653748, 1.157548427581787]"
